"","Year","Turnout","Ideology","No.Identification","Ideology.Folded","Conservative","Liberal","Liberal.Thermometer","Conservative.Thermometer","Republican.Thermometer","Education","Party.ID","PartyID.Folded","Household.Income","Age","Female","Race","Black","Region","Union.Member","Church.Attendance","Married","Social.Class"
"36909",1992,1,-1,0,1,0,1,80,75,0,3,1,3,1,87,1,2,1,2,0,5,0,2
"36910",1992,1,-1,0,1,0,1,60,20,30,3,1,3,4,60,1,1,0,4,1,4,1,1
"36911",1992,1,0,0,0,0,0,60,50,60,3,4,0,4,34,0,1,0,2,1,5,1,4
"36912",1992,NA,1,0,1,1,0,NA,NA,70,5,5,1,NA,64,0,1,0,2,0,5,1,6
"36913",1992,1,2,0,2,1,0,30,70,60,3,6,2,3,49,0,1,0,2,0,1,1,1
"36914",1992,NA,0,0,0,0,0,NA,NA,70,1,6,2,4,40,0,2,1,3,0,3,1,4
"36915",1992,1,0,0,0,0,0,60,85,30,5,4,0,5,64,0,1,0,1,0,5,0,1
"36916",1992,1,0,0,0,0,0,30,70,60,5,7,3,4,66,1,1,0,1,0,1,1,4
"36917",1992,0,1,0,1,1,0,50,50,85,3,7,3,2,23,0,1,0,1,0,5,1,1
"36918",1992,1,0,0,0,0,0,60,50,85,4,4,0,1,26,1,1,0,3,0,4,0,1
"36919",1992,1,1,0,1,1,0,50,60,70,3,5,1,4,27,0,1,0,3,0,4,1,1
"36920",1992,1,2,0,2,1,0,15,97,85,4,7,3,3,32,0,1,0,3,0,2,1,1
"36921",1992,0,0,0,0,0,0,70,70,85,2,2,2,1,33,1,2,1,3,0,4,0,4
"36922",1992,1,0,1,0,0,0,50,50,40,4,4,0,3,33,0,1,0,1,0,5,1,4
"36923",1992,1,1,0,1,1,0,50,60,50,4,1,3,4,39,1,1,0,3,0,1,1,4
"36924",1992,1,2,0,2,1,0,50,50,60,3,5,1,3,27,0,1,0,3,0,5,1,1
"36925",1992,1,0,1,0,0,0,60,40,40,3,2,2,3,43,1,1,0,3,0,5,1,4
"36926",1992,1,0,0,0,0,0,30,60,40,3,6,2,4,55,0,1,0,3,0,1,1,3
"36927",1992,NA,0,1,0,0,0,NA,NA,NA,2,4,0,1,19,1,1,0,3,0,5,0,4
"36928",1992,1,0,0,0,0,0,40,70,70,4,6,2,4,32,0,1,0,2,0,3,1,4
"36929",1992,1,-3,0,3,0,1,70,70,30,4,2,2,3,39,0,1,0,4,1,1,0,4
"36930",1992,0,0,0,0,0,0,50,70,70,5,7,3,4,45,0,1,0,4,0,5,0,6
"36931",1992,1,2,0,2,1,0,50,50,NA,4,7,3,3,81,1,1,0,2,0,1,1,4
"36932",1992,1,1,0,1,1,0,40,60,60,5,7,3,4,47,0,1,0,2,0,1,1,6
"36933",1992,1,0,1,0,0,0,50,50,70,3,7,3,NA,64,0,1,0,1,0,1,1,1
"36934",1992,1,1,0,1,1,0,40,60,60,4,6,2,3,50,0,1,0,2,0,1,1,4
"36935",1992,0,2,0,2,1,0,60,60,60,4,2,2,1,35,1,3,0,1,1,1,1,1
"36936",1992,0,0,1,0,0,0,60,70,30,2,2,2,2,27,1,2,1,3,0,1,0,1
"36937",1992,1,1,0,1,1,0,40,70,60,5,1,3,3,44,0,3,0,3,0,1,1,4
"36938",1992,1,-2,0,2,0,1,85,30,15,5,1,3,2,37,0,1,0,3,0,5,1,1
